,i,reward,eplen,epsilon,lr,loss,avg_Q,BP,IS,code,date,start_index
70,2129,7.087185554965483,30,0.36736522217484135,2e-05,0.48009276390075684,0.865986704826355,-17.976448015351046,11602299.712524414,000001,20231207,44
71,2159,7.804392393026934,30,0.3639971975734617,2e-05,0.5123982429504395,0.8267347812652588,9.984486137379474,-3998027.3875045776,000001,20231207,134
72,2189,8.065876398508248,30,0.36066005120723005,2e-05,0.4463205933570862,0.8257080316543579,-2.4452770091850033,-59454958.20291138,000001,20231207,26
73,2219,12.807608603292607,30,0.35735349998278493,2e-05,0.4815199375152588,0.8045778870582581,-12.881886031784305,-6888889.495937347,000001,20231207,46
74,2249,11.007189200635239,30,0.3540772634021804,2e-05,0.42547300457954407,0.9640867710113525,0.34718489044787415,-6529899.833217621,000001,20231207,152
75,2279,21.506007834833238,30,0.35083106353909116,2e-05,0.3501344323158264,0.8290690779685974,1.661075724197242,-5456873.672885895,000001,20231207,159
76,2309,8.738291121743757,30,0.3476146250152358,2e-05,0.33948197960853577,0.9365519881248474,-15.018357885591756,-34632260.716049194,000001,20231207,48
77,2339,16.92309581789306,30,0.3444276749770162,2e-05,0.3640749752521515,0.8625404834747314,-4.2551500765628205,-20977767.217761993,000001,20231207,113
78,2369,10.40293015368309,30,0.341269943072371,2e-05,0.39409151673316956,0.9196420907974243,-6.20313748283388,-2658619.934452057,000001,20231207,99
79,2399,10.1570267866596,30,0.33814116142784145,2e-05,0.38768482208251953,0.8821626305580139,-1.0045048583483436,39032264.20593262,000001,20231207,74
80,2429,12.02303448275861,30,0.33504106462584743,2e-05,0.34594517946243286,0.9011988639831543,-1.5628761301757101,-20877754.02482605,000001,20231207,87
81,2459,10.623717135278504,30,0.3319693896821718,2e-05,0.39394283294677734,0.8765398263931274,-5.100192236389831,-21496489.489570618,000001,20231207,92
82,2489,11.92979099099098,30,0.32892587602365136,2e-05,0.37314656376838684,0.8146364688873291,6.853249454385294,-27030296.387794495,000001,20231207,62
83,2519,7.668749444738228,30,0.3259102654660718,2e-05,0.31189173460006714,0.9379529356956482,-8.710978432077487,28414709.777683258,000001,20231207,179
84,2549,8.502151505546756,30,0.32292230219226614,2e-05,0.28409552574157715,0.966219961643219,7.874266823442044,-1958335.2508621216,000001,20231207,132
85,2579,17.545578378378373,30,0.3199617327304131,2e-05,0.33146053552627563,0.8868544101715088,-6.688671213910381,-41354685.945674896,000001,20231207,184
86,2609,14.512477273823068,30,0.3170283059325351,2e-05,0.2789207398891449,0.9387863278388977,-5.745449445259453,-11333019.119937897,000001,20231207,111
87,2639,11.68555908850026,30,0.3141217729531931,2e-05,0.32197731733322144,1.1156933307647705,-0.7108626653214869,13102689.939582825,000001,20231207,76
88,2669,6.9036310217046015,30,0.3112418872283767,2e-05,0.3948162794113159,0.9908818006515503,0.8688046813181632,-3298031.203502655,000001,20231207,156
89,2699,10.5840870301747,30,0.3083884044545879,2e-05,0.3056751489639282,0.8788813352584839,4.600217444516209,14453637.376434326,000001,20231207,69
90,2729,10.034424351508722,30,0.3055610825681168,2e-05,0.3281291723251343,1.0282500982284546,-2.8697234128561546,-31267393.773029327,000001,20231207,190
91,2759,13.601589825119223,30,0.30275968172450674,2e-05,0.3064349889755249,0.9798784255981445,-5.966117920580855,-1442497.9749908447,000001,20231207,98
92,2789,12.141246153846147,30,0.29998396427820834,2e-05,0.3255177140235901,0.95820152759552,-8.155962465420817,-37384258.35274887,000001,20231207,103
93,2819,13.196640550555838,30,0.2972336947624197,2e-05,0.21688903868198395,0.9568535685539246,-7.950534219053648,3051364.0497932434,000001,20231207,176
94,2849,8.602372683959754,30,0.2945086398691115,2e-05,0.29485785961151123,1.0252227783203125,0.10782287948595508,-2155091.9746398926,000001,20231207,155
95,2879,7.314513527851457,30,0.29180856842923547,2e-05,0.3919100761413574,0.9628604650497437,-3.034151906676563,-13154619.866680145,000001,20231207,84
96,2909,11.892982793414753,30,0.28913325139311363,2e-05,0.2776847183704376,0.9084588289260864,-9.191552030336025,6353434.247627258,000001,20231207,38
97,2939,11.35952260455267,30,0.2864824618110083,2e-05,0.20670998096466064,1.1576834917068481,0.5105062131064315,36765330.55495453,000001,20231207,75
98,2969,8.458581577554256,30,0.28385597481386937,2e-05,0.24771133065223694,1.127776861190796,-0.48624122679682696,37620058.6884079,000001,20231207,74
99,2999,8.605047644256203,30,0.2812535675942586,2e-05,0.2551735043525696,1.0307166576385498,1.3410121985190895,-4584739.397193909,000001,20231207,159
100,3029,10.400130015881413,30,0.27867501938744876,2e-05,0.25666773319244385,0.8997446298599243,-7.811986771178007,-118092.50088119507,000001,20231207,177
101,3059,10.362706319702593,30,0.27612011145269555,2e-05,0.2857743501663208,0.9479184150695801,-3.1803744882078737,33765992.59880829,000001,20231207,21
102,3089,9.086760382368539,30,0.27358862705468207,2e-05,0.21191415190696716,1.0121206045150757,-9.209944095162218,11987254.338794708,000001,20231207,36
103,3119,6.49997548864237,30,0.2710803514451327,2e-05,0.24048703908920288,0.9295915961265564,9.875441496401294,22310.63534927368,000001,20231207,136
104,3149,8.820957074721782,30,0.2685950718445958,2e-05,0.31021443009376526,0.9075400829315186,0.6622903738661942,71718114.32104874,000001,20231207,13
105,3179,11.247328153273013,30,0.2661325774243935,2e-05,0.2729528546333313,0.9888357520103455,-0.704918539374529,-42760255.97251892,000001,20231207,28
106,3209,9.584180836421375,30,0.26369265928873686,2e-05,0.24641381204128265,1.1116557121276855,4.2899503065255296,14368433.82939148,000001,20231207,68
107,3239,10.62058455843469,30,0.2612751104570051,2e-05,0.26241064071655273,0.9444845914840698,1.7438995126877517,-18716603.558685303,000001,20231207,195
